"TITLE","DESCRIPTION","ARCHITECT","ADDRESS"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В декабре 1894 года на Кировский завод (бывш. Путиловский) приезжал Владимир Ильич Ленин с целью ознакомления с жизнью и работой трудящихся крупнейшего предприятия страны. 12 (25 по новому стилю) мая 1917 года Владимир Ильич Ленин выступал на 20-тысячном митинге рабочих Путиловского завода и Путиловской судоверфи с докладом по текущему моменту»1957. Арх. Егоров М. Ф. Мрамор.Стачек пр., 47, Кировский завод. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Стачек пр./Санкт-Петербург, д. 47 Предметный указатель ""Кировский завод"" ","1957. Арх. Егоров М. Ф. Мрамор.","Стачек пр./Санкт-Петербург, д. 47"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «25 (12) мая 1917 года здесь, на многотысячном митинге рабочих и работниц бывшего Путиловского (ныне Кировского) завода, выступил с речью о задачах пролетариата и революции величайший гений человечества, вождь мирового пролетариата Владимир Ильич Ленин. В дни обороны Петрограда от белогвардейских банд Краснова—Керенского в ночь с 28 на 29 октября (с 10 на 11 ноября) 1917 г. Владимир Ильич Ленин посетил Путиловский завод»1957. Арх. Эйсмонт Н. Г. Бронза.Стачек пр., 47. Кировский завод (в здании). Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Эйсмонт Н. Г. Адреса Стачек пр./Санкт-Петербург, д. 47 Предметный указатель ""Кировский завод"" ","1957. Арх. Эйсмонт Н. Г.  Бронза.","Стачек пр./Санкт-Петербург, д. 47"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь 25 (12) мая 1917 г. выступал на митинге петроградских рабочих Владимир Ильич Ленин»1957. Мрамор.Фонтанки реки наб., 203. Адмиралтейские верфи. Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Фонтанки р. наб./Санкт-Петербург, д. 203 Предметный указатель Адмиралтейские верфи ","1957. Мрамор.","Адмиралтейские верфи"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в феврале 1897 г. у своей матери М.А. Ульяновой останавливался Владимир Ильич Ленин перед ссылкой в село Шушенское»1957. Арх. Линдрот Л. Н. Гранит.1990е гг. - демонтирована после акта вандализма.Чайковского ул., 13. Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Линдрот Лев Николаевич Адреса Чайковского ул./Санкт-Петербург, д. 13 ","1957. Арх. Линдрот Л. Н. Гранит.","Чайковского ул./Санкт-Петербург, д. 13"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме после июльских событий с 7 (20) по 9 (22) июля 1917 г. скрывался от преследования контрреволюционного буржуазного Временного правительства Владимир Ильич Ленин»1958. Арх. Иогансон К. Л., скульптор Богаткина С. П. Гранит, бронза.Советская 10-я ул., 17-а. Персоны Богаткина С. П. Иогансон К. Л. Ленин (наст. фам. Ульянов) Владимир Ильич Адреса 10-я Советская ул./Санкт-Петербург, д. 17, лит. А ","1958. Арх. Иогансон К. Л., скульптор Богаткина С. П. Гранит, бронза.","Ленин (наст. фам. Ульянов) Владимир Ильич"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в квартире Д.В. Стасова, в 1917 году неоднократно бывал Владимир Ильич Ленин»1959. Арх. Егоров М.Ф., скульпторы Далиненко А.И., Татарович В.И., Ястребенецкий Г.Д. Мрамор, песчаник.Фурштатская ул., 20. (Ф-51) Персоны Далиненко Алексей Ильич Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Татарович Владимир Игонатьевич Ястребенецкий Григорий Данилович Адреса Фурштатская ул./Санкт-Петербург, д. 20 ","1959. Арх. Егоров М.Ф., скульпторы Далиненко А.И., Татарович В.И., Ястребенецкий Г.Д. Мрамор, песчаник.","Ленин (наст. фам. Ульянов) Владимир Ильич"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 4 (17) апреля по 5 (18) июля 1917 года жил вождь международного пролетариата, создатель большевистской партии и первого в мире Советского социалистического государства Владимир Ильич Ленин»1960. Арх. Егоров М.Ф., скульпторы Татарович В. И., Ястребенецкий Г.Д. Мрамор, песчаник. Ленина ул., 52. (Ф-53) Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Татарович Владимир Игонатьевич Ястребенецкий Григорий Данилович Адреса Ленина ул./Санкт-Петербург, д. 52 ","1960.   Арх. Егоров М.Ф., скульпторы Татарович В. И., Ястребенецкий Г.Д. Мрамор, песчаник. ","Татарович Владимир Игонатьевич"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в комнате рабочего Обуховского завода В.А. Шелгунова, в 1894–1895 гг. В.И. Ленин проводил занятия в марксистском кружке и собрания передовых рабочих Петербурга»1960. Арх. Егоров М. Ф. Гранит.Ново-Александровская ул., 23. Музей «Невская застава». Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Новоалександровская ул./Санкт-Петербург, д. 23 ","1960. Арх. Егоров М. Ф. Гранит.","Новоалександровская ул./Санкт-Петербург, д. 23"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме накануне Октябрьской социалистической революции с 7 (20) октября по 24 октября (6 ноября) 1917 года скрывался от преследования контрреволюционного буржуазного Временного правительства Владимир Ильич Ленин. Отсюда он руководил подготовкой вооруженного восстания»1960. Арх. Егоров М.Ф. Гранит.Сердобольская ул., 1/92. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Сердобольская ул./Санкт-Петербург, д. 1/92 ","1960. Арх. Егоров М.Ф. Гранит.","Сердобольская ул./Санкт-Петербург, д. 1/92"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этой комнате Смольного с середины ноября 1917 года по 10 марта 1918 года жил В.И. Ленин»1960. Дерево. Стекло.Смольный. Историко-мемориальный музей В.И. Ленина. Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Предметный указатель Смольный институт ","1960. Дерево. Стекло.",NA
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этой комнате после образования Советского правительства на Втором Всероссийском съезде Советов был первый кабинет Председателя Совета Народных Комиссаров Владимира Ильича Ленина. Здесь В.И. Ленин подписал первые декреты и распоряжения Советского правительства, проводил заседания Совнаркома, встречался с рабочими, крестьянами, солдатами, делегатами Второго Всероссийского съезда Советов»1960. Арх. Егоров М.Ф. Мрамор.Смольный. Кабинет № 1. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Предметный указатель Смольный институт ","1960. Арх. Егоров М.Ф. Мрамор.","Смольный институт"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в Актовом зале Дворца Труда, в марте 1919 года В.И. Ленин принял участие в работе Первого съезда сельскохозяйственных рабочих Петроградской губернии и выступал с речью об организации профессионального союза сельскохозяйственных рабочих»1960. Арх. Егоров М.Ф., скульпторы Татарович В.И., Ястребенецкий Г.Д. Мрамор.Труда пл., 4. Дворец Труда. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Татарович Владимир Игонатьевич Ястребенецкий Григорий Данилович Адреса Труда пл./Санкт-Петербург, д. 4 Предметный указатель Николаевский дворец ","1960. Арх. Егоров М.Ф., скульпторы Татарович В.И., Ястребенецкий Г.Д. Мрамор.","Татарович Владимир Игонатьевич"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в Актовом зале Дворца Труда, в марте 1919 г. В.И. Ленин принял участие в работе Первого съезда сельскохозяйственных рабочих Петроградской губернии и выступал с речью об организации профессионального союза сельскохозяйственных рабочих»1963. Арх. Мицкевич Е. И. МраморТруда пл., 4, Дворец Труда (в здании). Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Мицкевич Е. И. Адреса Труда пл./Санкт-Петербург, д. 4 Предметный указатель Николаевский дворец ","1963. Арх. Мицкевич Е. И. Мрамор","Труда пл./Санкт-Петербург, д. 4"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 31 августа до начала октября 1893 года жил Владимир Ильич Ленин. С этого времени началась его деятельность в Петербурге по созданию революционной марксистской партии России»1963. Арх. Попов В. В. Гранит.Чайковского ул., 58. Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Попов Владимир Васильевич Адреса Чайковского ул./Санкт-Петербург, д. 58 ","1963. Арх. Попов В. В. Гранит.","Чайковского ул./Санкт-Петербург, д. 58"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, у озера Разлив, в июле-августе 1917 года Владимир Ильич Ленин скрывался от преследования контрреволюционного буржуазного Временного правительства. Отсюда В.И. Ленин руководил большевистской партией, готовил ее к вооруженному восстанию»1964. Арх. Петров В.А., Коротков В.И. Металл.Тарховка, поселок. Мемориальный музей «Шалаш». Персоны Коротков В. И. Ленин (наст. фам. Ульянов) Владимир Ильич Петров В. А. Адреса Тарховка пос. ","1964. Арх. Петров В.А., Коротков В.И. Металл.","Петров В. А."
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме 9 (22) мая 1906 г. В.И. Ленин выступил на народном митинге с речью о тактике РСДРП по отношению к Государственной думе. Собрание приняло резолюцию, предложенную В.И. Лениным»1965. Арх. Егоров М.Ф. Гранит.Тамбовская ул., 63/10. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Тамбовская ул./Санкт-Петербург, д. 63/10 ","1965. Арх. Егоров М.Ф. Гранит.","Тамбовская ул./Санкт-Петербург, д. 63/10"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме, в квартире № 9, в ночь с 25 на 26 октября (7–8 ноября) 1917 г. В.И. Ленин написал Декрет о земле, который был принят Вторым Всероссийским Съездом Советов»1965. Арх. Егоров М.Ф. Гранит.Херсонская ул., 5. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Херсонская ул./Санкт-Петербург, д. 5 ","1965. Арх. Егоров М.Ф. Гранит.","Херсонская ул./Санкт-Петербург, д. 5"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме, в квартире М.И. Калинина, в октябре 1917 г. В.И. Ленин проводил партийные совещания о подготовке вооруженного восстания»1965. Арх. Егоров М.Ф. Гранит.Энгельса пр., 92. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Энгельса пр./Санкт-Петербург, д. 92 ","1965. Арх. Егоров М.Ф. Гранит.","Энгельса пр./Санкт-Петербург, д. 92"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме, в квартире рабочего Д.И. Павлова, в октябре 1917 года состоялась встреча В.И. Ленина с работниками Военной организации при ЦК РСДРП (б) Н.И. Подвойским, В.А. Антоновым (Овсеенко) и В.И. Невским. Обсуждались вопросы готовности к вооруженному восстанию»1967. Арх. Попов В. Д. Мрамор.С 2005 - местонахождение не известно.Сердобольская ул., 35. Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Попов В. Д. Адреса Сердобольская ул./Санкт-Петербург, д. 35 ","1967. Арх. Попов В. Д. Мрамор.","Сердобольская ул./Санкт-Петербург, д. 35"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме, в бывшем рабочем клубе, в июне 1906 года выступал В.И. Ленин на собрании социал-демократической организации Балтийского завода»1969. Арх. Егоров М. Ф. Гранит.Большой пр. ВО, 82. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Большой пр. В. О./Санкт-Петербург, д. 82 ","1969. Арх. Егоров М. Ф. Гранит.","Большой пр. В. О./Санкт-Петербург, д. 82"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Улица Ленина. На этой улице в доме 52/9 с 4 (17) апреля по 5 (18) июля 1917 года жил и работал Владимир Ильич Ленин, основатель большевистской партии, вождь Великого Октября, создатель первого в мире социалистического государства»1970. Арх. Петров В. А., скульптор Чаркин А. С. Гранит, бронза.2004 - утрачен бронзовый портрет.Ленина ул., 1/31. Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Петров В. А. Чаркин Альберт Серафимович Адреса Ленина ул./Санкт-Петербург, д. 1/31 ","1970. Арх. Петров В. А., скульптор Чаркин А. С. Гранит, бронза.","Чаркин Альберт Серафимович"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом здании на съезде крестьянских депутатов В.И. Ленин выступил 14 ноября 1917 года с речью по аграрному вопросу. 18 ноября — о мерах, принятых Советским правительством против Ставки Верховного главнокомандующего, отказавшегося вести переговоры о мире. Съезд поддержал мероприятия Советского правительства»1970. Арх. Константинова Ю. Г. Гранит.Фонтанки реки наб., 6. Персоны Константинова Ю. Г. Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Фонтанки р. наб./Санкт-Петербург, д. 6 ","1970. Арх. Константинова Ю. Г. Гранит.","Фонтанки р. наб./Санкт-Петербург, д. 6"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме 9 августа 1917 г. находился В.И. Ленин, скрываясь от преследований Временного правительства»1970. Арх. Егоров М.Ф. Гранит.2004 - утрачена при пожаре деревянного дома.Ярославский пр., 11. Персоны Егоров Михаил Федорович Ленин (наст. фам. Ульянов) Владимир Ильич Адреса Ярославский пр./Санкт-Петербург, д. 11 ","1970. Арх. Егоров М.Ф. Гранит.","Ярославский пр./Санкт-Петербург, д. 11"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В мае 1917 года Владимир Ильич Ленин встретился с Л.Б. Красиным и осмотрел электростанцию, помещавшуюся в этом здании»1989. Арх. Милорадович Т. Н. Гранит.г. Пушкин, Малая ул., 9. Персоны Ленин (наст. фам. Ульянов) Владимир Ильич Милорадович Т. Н. Адреса Малая ул./Пушкин г., д. 9 ","1989. Арх. Милорадович Т. Н. Гранит.","Малая ул./Пушкин г., д. 9"
"Ленину В.И., мемориальная доска"," Ленину В.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме, в квартире члена ЦК РСДРП П.П. Румянцева, в ноябре 1905 года в течение двух недель нелегально жил и работал В.И. Ленин»1990. Арх. Исаева В. В. Гранит.Советская 10-я ул., 1/41. Персоны Исаева Вера Васильевна Ленин (наст. фам. Ульянов) Владимир Ильич Адреса 10-я Советская ул./Санкт-Петербург, д. 1/41 ","1990. Арх. Исаева В. В. Гранит.","10-я Советская ул./Санкт-Петербург, д. 1/41"
"Леонову А. П., мемориальная доска"," Леонову А. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «А.П. Леонов род. в 1888 г. в с. Казимки, Тульской губ. С 17 лет начинает революционную деятельность в Москве в Миусском трампарке. В 1905 г. за революцион. деятельность высылается из Москвы. В 1915 г. тов. Леонов — член бюро Петербургского Комитета РСДРП (б), активно ведет революционную работу по всем трампаркам г. Петрограда. После Февральской революции — первый председатель Рабочего Комитета и организатор кол-ва В.О. трампарка. В 1918 г. участвовал на Южном фронте. В 1919 г. — особый уполномоч. комитета обороны г. Петрограда, участвовал в боях. 22 июня 1919 г. при отражении атаки юденических банд пал смертью храбрых»1929. Мрамор.В.О., Средний пр., 77. Трамвайный парк. Персоны Леонов Александр Павлович Адреса Средний пр./Санкт-Петербург, д. 77 ","1929. Мрамор.",NA
"Лермонтову М. Ю., мемориальная доска"," Лермонтову М. Ю., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в лейб-гвардии гусарском полку, с 1834 по 1837 гг. и с 1838 по 1840 гг. служил великий русский поэт Михаил Юрьевич Лермонтов»1991. Арх. Абрамов Е. П., ск. Гольбрайх И.А. Гранит.г. Пушкин, Кадетский бульвар, 1. Высшее военно-морское инженерное училище. Персоны Абрамов Е. П. Гольбрайх И. А. Лермонтов Михаил Юрьевич Адреса Кадетский бульв./Пушкин г., д. 1 ","1991. Арх. Абрамов Е. П., ск. Гольбрайх И.А. Гранит.","Лермонтов Михаил Юрьевич"
"Лермонтову М. Ю., мемориальная доска"," Лермонтову М. Ю., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме жил Михаил Юрьевич Лермонтов в 1836–1837 гг. Здесь им написано стихотворение “Смерть поэта”»1962. Арх. Егоров М. Ф., скульптор Дыдыкин Н. В. Гранит.2006 - демонтирована на время реконструкции здания.Садовая ул., 61. (Ф-205) Персоны Дыдыкин Николай Васильевич Егоров Михаил Федорович Лермонтов Михаил Юрьевич Адреса Садовая ул./Санкт-Петербург, д. 61 ","1962. Арх. Егоров М. Ф., скульптор Дыдыкин Н. В. Гранит.","Лермонтов Михаил Юрьевич"
"Лесгафту П. Ф., мемориальная доска"," Лесгафту П. Ф., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме работал выдающийся русский педагог и общественный деятель, создатель научной системы физического воспитания Петр Францевич Лесгафт (1837–1909)»1967. Арх. Милорадович Т. Н. Мрамор.1983 - демонтирована в связи с реконструкцией фасада, хранится в ГМГС.Английский пр., 32. (Ф-101) Персоны Лесгафт Петр Францевич Милорадович Т. Н. Адреса Английский пр./Санкт-Петербург, д. 32 ","1967. Арх. Милорадович Т. Н. Мрамор.","Английский пр./Санкт-Петербург, д. 32"
"Лескову Н. С., мемориальная доска"," Лескову Н. С., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1889 по 1895 год жил и работал выдающийся русский писатель Николай Семенович Лесков»1981. Арх. Питаев В. Л. Гранит.Фурштатская ул., 50. (Ф-206) Персоны Лесков Николай Семенович Питаев В. Л. Адреса Фурштатская ул./Санкт-Петербург, д. 50 ","1981. Арх. Питаев В. Л. Гранит.","Фурштатская ул./Санкт-Петербург, д. 50"
"Лидвалю Ф. И., мемориальная доска"," Лидвалю Ф. И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Академик архитектуры Федор Иванович Лидваль, мастер эпохи модерна, в 1904–1918 годах жил и работал в этом доме, построенном по его проекту»1995. Арх. Попов В. В. Гранит, бронза.Каменноостровский пр., 1/3. (Ф-207) Персоны Лидваль Федор (Иоган Фридрих) Иванович Попов Владимир Васильевич Адреса Каменноостровский пр./Санкт-Петербург, д. 1/3 ","1995. Арх. Попов В. В. Гранит, бронза.","Каменноостровский пр./Санкт-Петербург, д. 1/3"
"Линнику В. П., мемориальная доска"," Линнику В. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1926 по 1984 год работал академик Владимир Павлович Линник, выдающийся советский физик, Герой Социалистического Труда»1989. Арх. Василенко О. В. Мрамор.В.О., Биржевая линия, 14. Государственный оптический институт им. С.И. Вавилова. Персоны Василенко Остап Васильевич Линник Владимир Павлович Адреса Биржевая линия/Санкт-Петербург, д. 14 Предметный указатель Государственный оптический институт им. С.И.Вавилова ","1989. Арх. Василенко О. В. Мрамор.","Биржевая линия/Санкт-Петербург, д. 14"
"Листу  Ф., мемориальная доска"," Листу Ф., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом здании в 1842–1843 гг. неоднократно выступал великий венгерский композитор и пианист Ференц Лист. Мемориальная доска открыта в октябре 1986 г. по случаю 175-летия со дня рождения композитора»1986. Бронза.Михайловская ул., 2, Большой зал Филармонии им. Д.Д. Шостаковича (в фойе). Персоны Лист Ференц Адреса Михайловская ул./Санкт-Петербург, д. 2 Предметный указатель Дворянского собрания здание (Большой зал филармонии) ","1986. Бронза.","Дворянского собрания здание (Большой зал филармонии)"
"Лихардову С. М. [и другим начальникам Петергофского Дворцового управления], мемориальная доска"," Лихардову С. М. [и другим начальникам Петергофского Дворцового управления], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме жили начальники Петергофского Дворцового управления, управляющие городом:Лихардов С.М. 1847–1857,Бларамберг И.И. 1857–1859,Евреинов М.Г. 1859–1871,Баумгартен П.П. 1871–1881,Арапов К.У. 1881–1885,Сперанский С.И. 1885–1891,Плешко Д.С. 1891–1906,Лермонтов М.А. 1906–1917»1997. Мрамор.г. Петродворец, Самсониевская ул., 3 Персоны Арапов К. У. Баумгартен П. П. Бларамберг Ипполит Иванович Евреинов М.Г. Лермонтов М. А. Лихардов С. М. Плешко Д. С. Сперанский С. И. Адреса Самсониевская ул./Петергоф г., д. 3 ","Бларамберг И.И. 1857–1859,","Бларамберг Ипполит Иванович"
"Лихачеву Д. С [и другим почетным докторам и меценатам Гуманитарного Университета профсоюзов], мемориальная доска"," Лихачеву Д. С [и другим почетным докторам и меценатам Гуманитарного Университета профсоюзов], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Почетные доктора Университета: 1993 г. Дмитрий Лихачев, академик Российской Академии наук, Джон Кингман, доктор Бристольского Университета; 1994 г. Михаил Аникушин, академик Российской Академии художеств, Дональд Росс, президент Линнского Университета»«Почетные доктора Университета: 1995 г. Наталья Дудинская, прима-балерина Российского балета; 1996 г. Андрей Петров, композитор, Георгий Свиридов, композитор; 1997 г. Даниил Гранин, писатель»«Меценаты Университета: 1993 г. Комитет по культуре и туризму мэрии Санкт-Петербурга, Государственный музей-заповедник “Царское Село”, концерн “Емец”, фирма “Палитра”, Эрик Риман (Швеция); 1994 г. организация “Ред Кидз” (Англия), А.О. “Форинтелл”, Т.О.О. “Фирма «Кредит-Сервис»”; 1995 г. издательский концерн “Шанс”, издательский дом “Комсомольская правда” — Санкт-Петербург»«Меценаты Университета:1996 г. Государственный Русский музей;1997 г. Государственный Эрмитаж, редакция газеты “Вечерний Петербург”, дирекция информационных программ “Информ-ТV” ГТРК “Петербург — 5 канал”»С 1993. Арх. Запесоцкий А. С. Мрамор (4 доски)Фучика ул., 15, в здании Гуманитарного университета профсоюзов Персоны Аникушин Михаил Константинович Запесоцкий А. С. Лихачев Дмитрий Сергеевич Адреса Фучика ул./Санкт-Петербург, д. 15 Предметный указатель Гуманитарный университет профсоюзов СПб ","«Почетные доктора Университета: 1995 г. Наталья Дудинская, прима-балерина Российского балета; 1996 г. Андрей Петров, композитор, Георгий Свиридов, композитор; 1997 г. Даниил Гранин, писатель»","Лихачев Дмитрий Сергеевич"
"Лихачеву Н. П., мемориальная доска"," Лихачеву Н. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1902 по 1936 г. жил и работал выдающийся историк, академик Николай Петрович Лихачев»1973. Арх. Исаева В. В. Мрамор.Петрозаводская ул., 7. (Ф-102) Персоны Исаева Вера Васильевна Лихачев Николай Петрович Адреса Петрозаводская ул./Санкт-Петербург, д. 7 ","1973. Арх. Исаева В. В. Мрамор.","Петрозаводская ул./Санкт-Петербург, д. 7"
"Лишеву В. В., мемориальная доска"," Лишеву В. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь жил с 1917 по 1960 г. скульптор В.В. Лишев»1993. Арх. Мантуров М. В., скульптор Дыдыкин Н. В. Мрамор, бронза.В.О., 6-я линия, 37 (Ф-208) Персоны Дыдыкин Николай Васильевич Лишев Всеволод Всеволодович Мантуров М. В. Адреса 6-я линия В.О./Санкт-Петербург, д. 37 ","1993. Арх. Мантуров М. В., скульптор Дыдыкин Н. В. Мрамор, бронза.","Мантуров М. В."
"Ловину К. П., мемориальная доска"," Ловину К. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «На электростанции № 1 с 1910 по 1921 гг. работал участник Великой Октябрьской социалистической революции, комиссар ГЭС № 1 Казимир Петрович Ловин (1893–1938)»1982. Арх. Исаева В. В., скульптор Есин С. И. Гранит.С 1990-х - данные не известны.Обводного канала наб., 76. ТЭЦ № 1. Персоны Есин С. И. Исаева Вера Васильевна Ловин Казимир Петрович Адреса Обводного кан. наб./Санкт-Петербург, д. 76 ","1982. Арх. Исаева В. В., скульптор Есин С. И. Гранит.","Ловин Казимир Петрович"
"Лодыгину А. Н. [и другим погибшим во время русско-японской войны 1904-1905 гг.], мемориальная доска"," Лодыгину А. Н. [и другим погибшим во время русско-японской войны 1904-1905 гг.], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Погибшие на эскадренных броненосцах “Петропавловск” 31-го марта 1904 года Гвардейскаго экипажа лейтенанты: Александр Николаевич Лодыгин, Николай Федорович Фонъ-Кубе, прежде служившие в экипаже капитан 2-го ранга Николай Александрович Кроун. “Князь Суворов” с 14-го по 15-е мая 1905 года капитан I-го ранга Василий Васильевич Игнациус. “Бородино” кондуктор Дмитрий Кирьянов. “Ослябя” кондуктор Константин Науменко»«Погибшие на эскадренном броненосце “Петропавловск” 31-го марта 1904 года матрос Матвей Тоскин Костромской губ. На крейсере I-го ранга “Адмирал Нахимов” с 14-го по 15-е мая 1905 года Нижегородской губ. матросы: Михаил Афонасьев, Дмитрий Дроздов; Рязанской — Кузьма Королев; Псковской — Афонасий Мокеев; Подольской — Алексей Оленецкiй; Калужской — Степанъ Платоновъ; Владимирской — Василiй Филипповъ; Вологодской — Афонасий Белицын, Алексей Мальцев; Саратовской — Семен Шитов; Астраханской — комендор Прохор Осичка, кочегар Василий Игнатьев; Архангельской — комендор Феодосий Чемакин»До 1917. Мрамор (2 доски).Никольская пл., 1/3. Николо-Богоявленский собор, 2-й этаж. (Ф-11) Персоны Лодыгин Александр Николаевич Адреса Никольская пл./Санкт-Петербург, д. 1/3 Предметный указатель Никольский морской собор ","До 1917. Мрамор (2 доски).","Никольский морской собор"
